1;Agriculture
2;Armée
3;Finance
4;Commerce
5;Architecture
6;Droit, politique
7;Électronique, robotique
8;Environnement
9;Management
10;Histoire
11;Hôtellerie-restauration
12;Audiovisuel
13;Informatique
14;Lettres
15;Transport
16;Industrie
17;Mécanique
18;Sport et santé
19;Biologie
20;Énergie
21;Chimie
22;Mathématiques
23;Physique
